,"Dodge & Cox Stock","Cash","Top Value","Top Growth","Mid Value","Mid Growth","Sm Value","Sm Growth"
09/01/03,-1.02,0.08,-1.06,-0.85,-0.78,-1.94,-1.15,-2.53
10/01/03,5.6,0.08,5.58,5,7.34,8.06,8.15,8.64
11/01/03,1.7,0.08,0.67,0.62,2.9,2.68,3.84,3.26
12/01/03,6.05,0.08,7.01,4.09,4.32,1.09,3.62,0.45
01/01/04,3.96,0.08,1.36,1.72,2.64,3.3,3.46,5.25
02/01/04,1.95,0.08,1.99,0.36,2.47,1.68,1.94,-0.15
03/01/04,-0.97,0.08,-1.35,-2.3,0.16,-0.19,1.38,0.47
04/01/04,-2.2,0.08,-1.6,-0.72,-4.23,-2.82,-5.17,-5.02
05/01/04,0.75,0.09,0.31,1.73,2.56,2.36,1.21,1.99
06/01/04,2.57,0.11,1.8,1.18,3.57,1.59,5.08,3.33
07/01/04,-3,0.12,-0.83,-5.36,-2.71,-6.62,-4.6,-8.98
08/01/04,-0.1,0.13,1.34,-0.27,1.61,-1.23,0.98,-2.15
09/01/04,2.94,0.14,0.95,0.13,2.91,3.73,3.96,5.53
10/01/04,2.34,0.15,1.37,1,2.31,3.39,1.55,2.43
11/01/04,5.89,0.18,4.3,2.89,6.76,5.16,8.87,8.45
12/01/04,3.94,0.19,3.11,3.63,3.88,4.79,2.39,3.59
01/01/05,-2.27,0.2,-1.52,-3.55,-2.33,-2.68,-3.87,-4.5
02/01/05,3,0.22,3.23,0.57,3.49,2.53,1.99,1.37
03/01/05,-0.54,0.24,-1.87,-1.95,-0.3,-1.46,-2.06,-3.75
04/01/05,-2.59,0.24,-1.4,-1.19,-2.64,-3.96,-5.16,-6.36
05/01/05,2.58,0.25,1.61,4.54,4.13,5.73,6.1,7.05
06/01/05,0.63,0.26,0.11,-1.15,3.27,1.86,4.42,3.23
07/01/05,3.61,0.28,2.08,4.53,4.76,5.84,5.69,6.99
08/01/05,0.75,0.3,-0.28,-1.54,-0.78,-0.61,-2.3,-1.41
09/01/05,1.02,0.3,1.43,0.14,1.35,1.29,-0.17,0.79
10/01/05,-1.77,0.33,-2.31,-0.21,-3.06,-2.94,-2.51,-3.7
11/01/05,3.1,0.34,3.16,3.9,3.53,5.43,4.06,5.66
12/01/05,1.71,0.34,0.46,-0.85,0.97,1.1,-0.77,-0.15
01/01/06,3.99,0.37,3.69,0.12,4.34,5.99,8.27,9.65
02/01/06,-0.39,0.39,0.46,0.28,0.95,-1.23,-0.01,-0.53
03/01/06,1.66,0.39,1,0.95,2.18,2.79,4.84,4.86
04/01/06,2.52,0.4,3.23,-0.36,0.96,0.42,0.27,-0.29
05/01/06,-1.72,0.41,-2.71,-2.85,-2.09,-4.71,-4.14,-7.04
06/01/06,0.04,0.42,0.66,-0.39,0.6,-0.41,1.23,0.06
07/01/06,0.63,0.43,3.59,-1.14,-0.57,-3.58,-1.39,-5.19
08/01/06,1.24,0.44,1.26,3.48,2.8,2.3,2.99,2.93
09/01/06,2.88,0.42,2.26,2.95,1.28,2.28,0.98,0.68
10/01/06,2.93,0.43,2.98,3.38,4.05,3.84,5.09,6.48
11/01/06,1.25,0.43,1.94,1.14,3.22,3.92,2.85,2.39
12/01/06,2.22,0.42,2.7,0.89,1.02,-0.9,0.87,-0.24
01/01/07,2.01,0.44,0.62,2.1,3.08,3.64,1.5,1.86
02/01/07,-1.61,0.44,-2.36,-2.61,0.6,-0.22,-1.23,-0.32
03/01/07,1.34,0.43,1.71,0.55,1.12,0.53,1.21,0.92
04/01/07,3.4,0.43,3.91,4.85,3.14,4.39,1.04,2.62
05/01/07,3.53,0.42,3.67,3.39,3.44,4.06,3.67,4.55
06/01/07,-1.53,0.41,-2.14,-1.36,-2.85,-1.73,-2.33,-0.57
07/01/07,-3.6,0.42,-4.28,-1.21,-5.58,-2.24,-8.51,-5.19
08/01/07,-0.42,0.37,1.63,2.11,-0.31,0.54,2,2.51
09/01/07,2.18,0.35,3.78,4.32,2.46,3.92,0.45,2.91
10/01/07,0.4,0.35,-0.12,3.81,0.38,2.55,1.09,4.5
11/01/07,-2.8,0.3,-4.75,-3.35,-5.27,-4.4,-7.49,-6.91
12/01/07,-2.43,0.27,-0.92,-0.65,-1.11,0.27,-0.85,0.63
01/01/08,-5.45,0.24,-3.82,-7.73,-4.56,-7.95,-4.1,-9.17
02/01/08,-3.79,0.19,-4.49,-2.2,-3.3,-1.52,-3.97,-3.46
03/01/08,-3.18,0.12,-0.66,-0.08,-1.02,-1.77,1.51,-0.58
04/01/08,6.23,0.11,4.46,4.35,6.1,7.26,3.16,5.14
05/01/08,0.97,0.15,-1.44,2.93,3.55,5.27,3.42,5.66
06/01/08,-10.94,0.16,-9.79,-7.15,-8.91,-7.31,-9.6,-5.96
07/01/08,0.95,0.14,-0.04,-1.08,-1.15,-3.8,5.13,2.33
08/01/08,0.68,0.15,1.22,1.15,2.86,0.92,4.75,2.48
09/01/08,-13.52,0.12,-6.65,-10.04,-9.05,-15.28,-4.69,-11.3
10/01/08,-18.21,0.07,-15.13,-15.91,-22.76,-21.95,-19.98,-21.7
11/01/08,-9.05,0.03,-6.1,-7.12,-10.11,-10.24,-11.58,-12.1
12/01/08,3.05,0,0.18,1.15,4.87,3.68,6.15,5.42
01/01/09,-9.8,0.01,-11.92,-4.92,-10.33,-4.5,-14.28,-7.61
02/01/09,-13.28,0.03,-13.68,-7.49,-12.49,-7.61,-13.89,-10.35
03/01/09,8.85,0.02,8.48,8.7,8.73,9.53,8.88,8.98
