,ML U.S. Treasury Bills 0-3 Months,ML U.S. Treasuries 10+ Yrs,ML U.S. Treasuries 3-5 Yrs,ML U.S. Corporates 1-3 Yrs,ML U.S. Corporates 3-5 Yrs,ML U.S. Corporates 10+ Yrs,ML Mortgage Master Index
,"Return, %","Return, %","Return, %","Return, %","Return, %","Return, %","Return, %"
,Total,Total,Total,Total,Total,Total,Total
1-Dec,0.3883,-0.211248,0.283392,0.463518,0.384308,0.747389,0.457101
1-Jan,0.345887,0.885305,0.591634,0.516267,0.770052,1.479277,0.675063
1-Feb,0.32468,-5.047574,-1.864886,-0.286928,-1.342196,-3.973078,-0.445545
1-Mar,0.420423,-0.057818,0.833439,0.928574,1.151311,0.654482,0.688674
1-Apr,0.365686,0.315611,0.264654,0.42349,0.414118,0.222824,0.436903
1-May,0.382681,-1.598335,-0.913699,-0.107812,-0.947758,-1.974523,-0.66254
1-Jun,0.392177,-1.049307,0.326602,0.288428,0.243496,-1.368983,-0.368171
1-Jul,0.357909,-0.590563,-0.008558,0.240964,-0.25695,-1.151194,-0.652189
1-Aug,0.401574,-0.388589,0.238332,0.111678,-0.05964,-0.570036,-0.00295
1-Sep,0.409354,0.743127,0.882752,0.821057,1.141176,1.165897,1.68011
1-Oct,0.377486,0.07705,0.062502,0.34685,0.230507,0.470583,0.53585
1-Nov,0.416896,-0.66602,-0.004446,0.267919,0.152189,-0.08043,0.089929
1-Dec,0.434426,-1.457629,-0.332934,0.291384,-0.03382,-0.673804,-0.348782
1-Jan,0.424734,1.363769,-0.526856,-0.007391,-0.45906,-0.087024,-0.767366
1-Feb,0.432839,3.014906,0.815582,0.731972,0.774683,0.977242,1.237981
1-Mar,0.473226,3.340436,1.336191,0.593977,0.957828,1.110902,0.990808
1-Apr,0.452073,-0.741372,-0.129555,-0.032166,-0.53957,-2.280662,0.055443
1-May,0.570747,-0.393699,0.406109,0.279421,-0.095088,-1.58929,0.051764
1-Jun,0.416959,2.278873,1.647015,1.190194,1.754362,3.633287,2.107307
1-Jul,0.471881,1.574183,0.651808,0.851085,0.88171,1.825375,0.679568
1-Aug,0.512986,2.305481,1.152923,0.782422,1.196885,1.335002,1.481323
1-Sep,0.524051,-1.219349,0.941582,0.946717,1.228262,0.028893,1.083715
1-Oct,0.509749,1.595967,0.659174,-0.021829,-0.080589,-0.123472,0.688688
1-Nov,0.534249,3.178481,1.55078,0.983204,1.167776,1.606623,1.494275
1-Dec,0.534777,2.368122,1.877174,1.06865,1.756311,2.06289,1.671286
1-Jan,0.56275,0.121017,1.237093,1.590361,1.998122,4.093736,1.461283
1-Feb,0.384392,1.667351,0.996661,0.739897,0.976285,0.943545,0.597109
1-Mar,0.464548,-0.483261,0.880176,1.047236,1.116175,0.268366,0.592036
1-Apr,0.406912,-2.682792,-0.512707,0.261736,-0.018216,-1.243722,0.135337
1-May,0.345395,0.270867,0.391294,0.833001,0.713323,1.796821,0.562971
1-Jun,0.289789,0.673241,0.323553,0.442945,0.460938,0.510208,0.165783
1-Jul,0.304641,3.857942,2.010272,1.472545,2.341627,3.650916,1.872317
1-Aug,0.312188,1.912719,0.880502,0.741754,0.801816,1.520738,0.879076
1-Sep,0.337206,0.993942,2.470982,1.27708,1.469086,-1.604054,1.581682
1-Oct,0.235056,4.809988,1.546118,0.927505,1.302519,3.967303,1.370227
1-Nov,0.195098,-4.689749,-1.288266,-0.220305,-0.675025,-1.256235,-0.905471
